module,extrinsic,tx_fee_with_decimal,tx_fee_without_decimal
frame_system,fill_block,500431550000000,500.43155
frame_system,remark,453045000000,0.453045
frame_system,set_heap_pages,1585220000000,1.58522
frame_system,set_code,2500431840000000,2500.43184
frame_system,set_code_without_checks,2500431840000000,2500.43184
frame_system,set_storage,935710000000,0.93571
frame_system,kill_storage,1441170000000,1.44117
frame_system,kill_prefix,4987320000000,4.98732
frame_system,remark_with_event,451450000000,0.45145
pallet_treasury,propose_spend,1703075000000,1.703075
pallet_treasury,reject_proposal,1934615000000,1.934615
pallet_treasury,approve_proposal,1306330000000,1.30633
pallet_treasury,spend,432675000000,0.432675
pallet_treasury,remove_approval,1096765000000,1.096765
pallet_timestamp,set,1095490000000,1.09549
pallet_preimage,note_preimage,1682160000000,1.68216
pallet_preimage,unnote_preimage,1741420000000,1.74142
pallet_preimage,request_preimage,1230085000000,1.230085
pallet_preimage,unrequest_preimage,1670735000000,1.670735
pallet_multisig,as_multi_threshold_1,2402950000000,2.40295
pallet_multisig,as_multi,2571810320000,2.57181032
pallet_multisig,approve_as_multi,2624160320000,2.62416032
pallet_multisig,cancel_as_multi,1936605000000,1.936605
pallet_membership,add_member,681830000000,0.68183
pallet_membership,remove_member,681830000000,0.68183
pallet_membership,swap_member,682150000000,0.68215
pallet_membership,reset_members,682160000000,0.68216
pallet_membership,change_key,681830000000,0.68183
pallet_membership,set_prime,681830000000,0.68183
pallet_membership,clear_prime,681510000000,0.68151
pallet_democracy,propose,2557875000000,2.557875
pallet_democracy,second,1215490000000,1.21549
pallet_democracy,vote,2590685000000,2.590685
pallet_democracy,emergency_cancel,1784035000000,1.784035
pallet_democracy,external_propose,1250410000000,1.25041
pallet_democracy,external_propose_majority,951915000000,0.951915
pallet_democracy,external_propose_default,952050000000,0.95205
pallet_democracy,fast_track,2284035000000,2.284035
pallet_democracy,veto_external,1810415000000,1.810415
pallet_democracy,cancel_referendum,998070000000,0.99807
pallet_democracy,cancel_queued,1862595000000,1.862595
pallet_democracy,delegate,67906500000000,67.9065
pallet_democracy,undelegate,66596125000000,66.596125
pallet_democracy,clear_public_proposals,955705000000,0.955705
pallet_democracy,note_preimage,1202485000000,1.202485
pallet_democracy,note_preimage_operational,1202485000000,1.202485
pallet_democracy,note_imminent_preimage,1159420000000,1.15942
pallet_democracy,note_imminent_preimage_operational,1159420000000,1.15942
pallet_democracy,reap_preimage,1327125000000,1.327125
pallet_democracy,unlock,2494525000000,2.494525
pallet_democracy,remove_vote,1831455000000,1.831455
pallet_democracy,remove_other_vote,1819410000000,1.81941
pallet_democracy,enact_proposal,2500431870000000,2500.4318700000003
pallet_democracy,blacklist,4427965000000,4.427965
pallet_democracy,cancel_proposal,2603225000000,2.603225
pallet_collective,set_members,72389500000000,72.3895
